date,shoe_ID,model,side,location,initial_mm,final_mm
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,heel,1.82,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,heel,1.77,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,heel,1.79,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,ball,1.73,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,ball,1.81,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,ball,1.82,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,outer_arch,1.90,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,outer_arch,1.92,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,outer_arch,1.90,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,tip,1.39,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,tip,1.30,
11/26/2019,R22,Adidas ultraBOOST Parley(White),R,tip,1.33,
11/26/2019,R78,Reebok Bolton,R,heel,2.02,
11/26/2019,R78,Reebok Bolton,R,heel,2.02,
11/26/2019,R78,Reebok Bolton,R,heel,2.00,
11/26/2019,R78,Reebok Bolton,R,ball,2.90,
11/26/2019,R78,Reebok Bolton,R,ball,2.94,
11/26/2019,R78,Reebok Bolton,R,ball,2.96,
11/26/2019,R78,Reebok Bolton,R,outer_arch,2.92,
11/26/2019,R78,Reebok Bolton,R,outer_arch,2.94,
11/26/2019,R78,Reebok Bolton,R,outer_arch,3.00,
11/26/2019,R78,Reebok Bolton,R,tip,1.43,
11/26/2019,R78,Reebok Bolton,R,tip,1.47,
11/26/2019,R78,Reebok Bolton,R,tip,1.48,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,heel,1.76,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,heel,1.80,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,heel,1.77,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,ball,3.48,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,ball,3.36,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,ball,3.45,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,outer_arch,3.20,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,outer_arch,3.12,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,outer_arch,2.96,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,tip,3.16,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,tip,3.32,
11/26/2019,R54,Adidas Nizza(50A syn) white,R,tip,3.31,
11/26/2019,R68,Adidas Terrex Boat,R,heel,1.73,
11/26/2019,R68,Adidas Terrex Boat,R,heel,1.74,
11/26/2019,R68,Adidas Terrex Boat,R,heel,1.75,
11/26/2019,R68,Adidas Terrex Boat,R,ball,1.33,
11/26/2019,R68,Adidas Terrex Boat,R,ball,1.33,
11/26/2019,R68,Adidas Terrex Boat,R,ball,1.34,
11/26/2019,R68,Adidas Terrex Boat,R,outer_arch,1.90,
11/26/2019,R68,Adidas Terrex Boat,R,outer_arch,1.87,
11/26/2019,R68,Adidas Terrex Boat,R,outer_arch,1.90,
11/26/2019,R68,Adidas Terrex Boat,R,tip,1.86,
11/26/2019,R68,Adidas Terrex Boat,R,tip,1.91,
11/26/2019,R68,Adidas Terrex Boat,R,tip,1.77,
11/26/2019,R09,adidas F/22 Prime Knit,R,heel,1.33,
11/26/2019,R09,adidas F/22 Prime Knit,R,heel,1.28,
11/26/2019,R09,adidas F/22 Prime Knit,R,heel,1.29,
11/26/2019,R09,adidas F/22 Prime Knit,R,ball,1.60,
11/26/2019,R09,adidas F/22 Prime Knit,R,ball,1.54,
11/26/2019,R09,adidas F/22 Prime Knit,R,ball,1.59,
11/26/2019,R09,adidas F/22 Prime Knit,R,outer_arch,1.35,
11/26/2019,R09,adidas F/22 Prime Knit,R,outer_arch,1.39,
11/26/2019,R09,adidas F/22 Prime Knit,R,outer_arch,1.40,
