date,shoe_ID,model,side,location,final_mm,,,
1/16/2020,R34,Ultra Boost Stella,R,heel,1.34,,,
1/16/2020,R34,Ultra Boost Stella,R,heel,1.27,,,
1/16/2020,R34,Ultra Boost Stella,R,heel,1.25,,,
1/16/2020,R34,Ultra Boost Stella,R,ball,1.23,,,
1/16/2020,R34,Ultra Boost Stella,R,ball,1.24,,,
1/16/2020,R34,Ultra Boost Stella,R,ball,1.25,,,
1/16/2020,R34,Ultra Boost Stella,R,outer_arch,1.65,,,
1/16/2020,R34,Ultra Boost Stella,R,outer_arch,1.69,,,
1/16/2020,R34,Ultra Boost Stella,R,outer_arch,1.65,,,
1/16/2020,R34,Ultra Boost Stella,R,tip,1.64,,,
1/16/2020,R34,Ultra Boost Stella,R,tip,1.56,,,
1/16/2020,R34,Ultra Boost Stella,R,tip,1.59,,,
1/16/2020,L34,Ultra Boost Stella,L,heel,0.95,,,
1/16/2020,L34,Ultra Boost Stella,L,heel,0.88,,,
1/16/2020,L34,Ultra Boost Stella,L,heel,0.85,,,
1/16/2020,L34,Ultra Boost Stella,L,ball,0.80,,,
1/16/2020,L34,Ultra Boost Stella,L,ball,0.77,,,
1/16/2020,L34,Ultra Boost Stella,L,ball,0.92,,,
1/16/2020,L34,Ultra Boost Stella,L,outer_arch,1.58,,,
1/16/2020,L34,Ultra Boost Stella,L,outer_arch,1.59,,,
1/16/2020,L34,Ultra Boost Stella,L,outer_arch,1.62,,,
1/16/2020,L34,Ultra Boost Stella,L,tip,1.21,,,
1/16/2020,L34,Ultra Boost Stella,L,tip,1.08,,,
1/16/2020,L34,Ultra Boost Stella,L,tip,1.18,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,heel,0.79,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,heel,0.65,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,heel,0.64,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,ball,0.66,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,ball,0.67,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,ball,0.67,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,outer_arch,0.00,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,outer_arch,0.00,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,outer_arch,0.00,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,tip,0.39,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,tip,0.38,,,
1/16/2020,R40,Parley Prime LTD ADIZERO (white),R,tip,0.30,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,heel,0.99,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,heel,1.09,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,heel,1.11,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,ball,0.60,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,ball,0.58,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,ball,0.54,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,outer_arch,0.84,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,outer_arch,0.78,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,outer_arch,0.81,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,tip,0.18,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,tip,0.25,,,
1/16/2020,L40,Parley Prime LTD ADIZERO (white),L,tip,0.24,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,heel,1.58,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,heel,1.52,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,heel,1.55,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,ball,2.60,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,ball,2.66,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,ball,2.63,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,outer_arch,3.11,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,outer_arch,3.10,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,outer_arch,3.11,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,tip,2.36,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,tip,2.36,,,
1/16/2020,R27,Adidas Nizza(50A syn) white,R,tip,2.38,,,
1/16/2020,L27,Adidas Nizza(50A syn) white,L,heel,1.32,,,
1/16/2020,L27,Adidas Nizza(50A syn) white,L,heel,1.33,,,
1/16/2020,L27,Adidas Nizza(50A syn) white,L,heel,1.42,,,
1/16/2020,L27,Adidas Nizza(50A syn) white,L,ball,2.66,,,
