date,shoe_ID,model,side,location,final_mm,initial ,
1/17/2020,R50,Adidas Astrarun (60A),R,heel,0.80,1.85,-1.05
1/17/2020,R50,Adidas Astrarun (60A),R,heel,0.71,1.85,-1.14
1/17/2020,R50,Adidas Astrarun (60A),R,heel,0.70,1.86,-1.16
1/17/2020,R50,Adidas Astrarun (60A),R,ball,0.00,1.58,-1.58
1/17/2020,R50,Adidas Astrarun (60A),R,ball,0.00,1.58,-1.58
1/17/2020,R50,Adidas Astrarun (60A),R,ball,0.00,1.61,-1.61
1/17/2020,R50,Adidas Astrarun (60A),R,outer_arch,1.03,1.54,-0.51
1/17/2020,R50,Adidas Astrarun (60A),R,outer_arch,1.08,1.64,-0.56
1/17/2020,R50,Adidas Astrarun (60A),R,outer_arch,1.05,1.70,-0.65
1/17/2020,R50,Adidas Astrarun (60A),R,tip,0.57,1.89,-1.32
1/17/2020,R50,Adidas Astrarun (60A),R,tip,0.49,1.80,-1.31
1/17/2020,R50,Adidas Astrarun (60A),R,tip,0.40,1.80,-1.40
1/17/2020,L50,Adidas Astrarun (60A),L,heel,1.42,2.04,-0.62
1/17/2020,L50,Adidas Astrarun (60A),L,heel,1.42,1.98,-0.56
1/17/2020,L50,Adidas Astrarun (60A),L,heel,1.40,1.98,-0.58
1/17/2020,L50,Adidas Astrarun (60A),L,ball,0.00,1.75,-1.75
1/17/2020,L50,Adidas Astrarun (60A),L,ball,0.00,1.73,-1.73
1/17/2020,L50,Adidas Astrarun (60A),L,ball,0.00,1.77,-1.77
1/17/2020,L50,Adidas Astrarun (60A),L,outer_arch,1.47,1.94,-0.47
1/17/2020,L50,Adidas Astrarun (60A),L,outer_arch,1.47,1.87,-0.40
1/17/2020,L50,Adidas Astrarun (60A),L,outer_arch,1.50,1.88,-0.38
1/17/2020,L50,Adidas Astrarun (60A),L,tip,0.37,2.02,-1.65
1/17/2020,L50,Adidas Astrarun (60A),L,tip,0.25,1.89,-1.64
1/17/2020,L50,Adidas Astrarun (60A),L,tip,0.31,1.91,-1.60
1/20/2020,R31,Adidas Astrarun (60A),R,heel,1.74,1.85,-0.11
1/20/2020,R31,Adidas Astrarun (60A),R,heel,1.71,1.85,-0.14
1/20/2020,R31,Adidas Astrarun (60A),R,heel,1.74,1.86,-0.12
1/20/2020,R31,Adidas Astrarun (60A),R,ball,1.68,1.58,0.10
1/20/2020,R31,Adidas Astrarun (60A),R,ball,1.56,1.58,-0.02
1/20/2020,R31,Adidas Astrarun (60A),R,ball,1.62,1.61,0.01
1/20/2020,R31,Adidas Astrarun (60A),R,outer_arch,1.74,1.54,0.20
1/20/2020,R31,Adidas Astrarun (60A),R,outer_arch,1.73,1.64,0.09
1/20/2020,R31,Adidas Astrarun (60A),R,outer_arch,1.71,1.70,0.01
1/20/2020,R31,Adidas Astrarun (60A),R,tip,2.00,1.89,0.11
1/20/2020,R31,Adidas Astrarun (60A),R,tip,1.90,1.80,0.10
1/20/2020,R31,Adidas Astrarun (60A),R,tip,2.04,1.80,0.24
1/20/2020,L31,Adidas Astrarun (60A),L,heel,1.65,2.04,-0.39
1/20/2020,L31,Adidas Astrarun (60A),L,heel,1.66,1.98,-0.32
1/20/2020,L31,Adidas Astrarun (60A),L,heel,1.67,1.98,-0.31
1/20/2020,L31,Adidas Astrarun (60A),L,ball,1.52,1.75,-0.23
1/20/2020,L31,Adidas Astrarun (60A),L,ball,1.48,1.73,-0.25
1/20/2020,L31,Adidas Astrarun (60A),L,ball,1.43,1.77,-0.34
1/20/2020,L31,Adidas Astrarun (60A),L,outer_arch,1.65,1.94,-0.29
1/20/2020,L31,Adidas Astrarun (60A),L,outer_arch,1.66,1.87,-0.21
1/20/2020,L31,Adidas Astrarun (60A),L,outer_arch,1.60,1.88,-0.28
1/20/2020,L31,Adidas Astrarun (60A),L,tip,1.93,2.02,-0.09
1/20/2020,L31,Adidas Astrarun (60A),L,tip,1.92,1.89,0.03
1/20/2020,L31,Adidas Astrarun (60A),L,tip,2.03,1.91,0.12
1/21/2020,R48,Adidas Astrarun (60A),R,heel,1.36,1.85,-0.49
1/21/2020,R48,Adidas Astrarun (60A),R,heel,1.37,1.85,-0.48
1/21/2020,R48,Adidas Astrarun (60A),R,heel,1.37,1.86,-0.49
1/21/2020,R48,Adidas Astrarun (60A),R,ball,0.99,1.58,-0.59
1/21/2020,R48,Adidas Astrarun (60A),R,ball,1.13,1.58,-0.45
1/21/2020,R48,Adidas Astrarun (60A),R,ball,1.16,1.61,-0.45
1/21/2020,R48,Adidas Astrarun (60A),R,outer_arch,1.60,1.54,0.06
1/21/2020,R48,Adidas Astrarun (60A),R,outer_arch,1.59,1.64,-0.05
1/21/2020,R48,Adidas Astrarun (60A),R,outer_arch,1.62,1.70,-0.08
1/21/2020,R48,Adidas Astrarun (60A),R,tip,1.26,1.89,-0.63
1/21/2020,R48,Adidas Astrarun (60A),R,tip,1.18,1.80,-0.62
1/21/2020,R48,Adidas Astrarun (60A),R,tip,1.27,1.80,-0.53
1/21/2020,L48,Adidas Astrarun (60A),L,heel,1.56,2.04,-0.48
1/21/2020,L48,Adidas Astrarun (60A),L,heel,1.60,1.98,-0.38
1/21/2020,L48,Adidas Astrarun (60A),L,heel,1.64,1.98,-0.34
1/21/2020,L48,Adidas Astrarun (60A),L,ball,0.61,1.75,-1.14
1/21/2020,L48,Adidas Astrarun (60A),L,ball,0.62,1.73,-1.11
1/21/2020,L48,Adidas Astrarun (60A),L,ball,0.62,1.77,-1.15
1/21/2020,L48,Adidas Astrarun (60A),L,outer_arch,1.77,1.94,-0.17
1/21/2020,L48,Adidas Astrarun (60A),L,outer_arch,1.75,1.87,-0.12
1/21/2020,L48,Adidas Astrarun (60A),L,outer_arch,1.72,1.88,-0.16
1/21/2020,L48,Adidas Astrarun (60A),L,tip,0.80,2.02,-1.22
1/21/2020,L48,Adidas Astrarun (60A),L,tip,0.72,1.89,-1.17
1/21/2020,L48,Adidas Astrarun (60A),L,tip,1.07,1.91,-0.84
1/21/2020,R49,Adidas Astrarun (60A),R,heel,1.28,1.85,-0.57
1/21/2020,R49,Adidas Astrarun (60A),R,heel,1.28,1.85,-0.57
1/21/2020,R49,Adidas Astrarun (60A),R,heel,1.33,1.86,-0.53
1/21/2020,R49,Adidas Astrarun (60A),R,ball,0.85,1.58,-0.73
1/21/2020,R49,Adidas Astrarun (60A),R,ball,0.87,1.58,-0.71
1/21/2020,R49,Adidas Astrarun (60A),R,ball,0.79,1.61,-0.82
1/21/2020,R49,Adidas Astrarun (60A),R,outer_arch,1.56,1.54,0.02
1/21/2020,R49,Adidas Astrarun (60A),R,outer_arch,1.49,1.64,-0.15
1/21/2020,R49,Adidas Astrarun (60A),R,outer_arch,1.55,1.70,-0.15
1/21/2020,R49,Adidas Astrarun (60A),R,tip,1.99,1.89,0.10
1/21/2020,R49,Adidas Astrarun (60A),R,tip,1.90,1.80,0.10
1/21/2020,R49,Adidas Astrarun (60A),R,tip,1.97,1.80,0.17
1/21/2020,L49,Adidas Astrarun (60A),L,heel,1.57,2.04,-0.47
1/21/2020,L49,Adidas Astrarun (60A),L,heel,1.68,1.98,-0.30
1/21/2020,L49,Adidas Astrarun (60A),L,heel,1.67,1.98,-0.31
1/21/2020,L49,Adidas Astrarun (60A),L,ball,0.53,1.75,-1.22
1/21/2020,L49,Adidas Astrarun (60A),L,ball,0.43,1.73,-1.30
1/21/2020,L49,Adidas Astrarun (60A),L,ball,0.42,1.77,-1.35
1/21/2020,L49,Adidas Astrarun (60A),L,outer_arch,1.54,1.94,-0.40
1/21/2020,L49,Adidas Astrarun (60A),L,outer_arch,1.60,1.87,-0.27
1/21/2020,L49,Adidas Astrarun (60A),L,outer_arch,1.54,1.88,-0.34
1/21/2020,L49,Adidas Astrarun (60A),L,tip,1.01,2.02,-1.01
1/21/2020,L49,Adidas Astrarun (60A),L,tip,1.02,1.89,-0.87
1/21/2020,L49,Adidas Astrarun (60A),L,tip,1.06,1.91,-0.85
1/17/2020,R06,adidas F/22 Prime Knit,R,heel,1.32,1.33,-0.01
1/17/2020,R06,adidas F/22 Prime Knit,R,heel,1.20,1.28,-0.08
1/17/2020,R06,adidas F/22 Prime Knit,R,heel,1.27,1.29,-0.02
1/17/2020,R06,adidas F/22 Prime Knit,R,ball,1.22,1.60,-0.38
1/17/2020,R06,adidas F/22 Prime Knit,R,ball,1.29,1.54,-0.25
1/17/2020,R06,adidas F/22 Prime Knit,R,ball,1.35,1.59,-0.24
1/17/2020,R06,adidas F/22 Prime Knit,R,outer_arch,1.54,1.35,0.19
1/17/2020,R06,adidas F/22 Prime Knit,R,outer_arch,1.41,1.39,0.02
1/17/2020,R06,adidas F/22 Prime Knit,R,outer_arch,1.46,1.40,0.06
1/17/2020,R06,adidas F/22 Prime Knit,R,tip,1.11,1.16,-0.05
1/17/2020,R06,adidas F/22 Prime Knit,R,tip,1.08,1.20,-0.12
1/17/2020,R06,adidas F/22 Prime Knit,R,tip,1.10,1.13,-0.03
1/17/2020,L06,adidas F/22 Prime Knit,L,heel,1.19,1.35,-0.16
1/17/2020,L06,adidas F/22 Prime Knit,L,heel,1.32,1.34,-0.02
1/17/2020,L06,adidas F/22 Prime Knit,L,heel,1.23,1.31,-0.08
1/17/2020,L06,adidas F/22 Prime Knit,L,ball,1.33,1.41,-0.08
1/17/2020,L06,adidas F/22 Prime Knit,L,ball,1.27,1.42,-0.15
1/17/2020,L06,adidas F/22 Prime Knit,L,ball,1.27,1.33,-0.06
1/17/2020,L06,adidas F/22 Prime Knit,L,outer_arch,1.45,1.33,0.12
1/17/2020,L06,adidas F/22 Prime Knit,L,outer_arch,1.51,1.32,0.19
1/17/2020,L06,adidas F/22 Prime Knit,L,outer_arch,1.48,1.34,0.14
1/17/2020,L06,adidas F/22 Prime Knit,L,tip,1.02,1.13,-0.11
1/17/2020,L06,adidas F/22 Prime Knit,L,tip,1.01,1.11,-0.10
1/17/2020,L06,adidas F/22 Prime Knit,L,tip,1.03,1.15,-0.12
1/23/2020,R10,adidas F/22 Prime Knit,R,heel,1.20,1.33,-0.13
1/23/2020,R10,adidas F/22 Prime Knit,R,heel,1.16,1.28,-0.12
1/23/2020,R10,adidas F/22 Prime Knit,R,heel,1.14,1.29,-0.15
1/23/2020,R10,adidas F/22 Prime Knit,R,ball,1.48,1.60,-0.12
1/23/2020,R10,adidas F/22 Prime Knit,R,ball,1.48,1.54,-0.06
1/23/2020,R10,adidas F/22 Prime Knit,R,ball,1.50,1.59,-0.09
1/23/2020,R10,adidas F/22 Prime Knit,R,outer_arch,1.11,1.35,-0.24
1/23/2020,R10,adidas F/22 Prime Knit,R,outer_arch,1.15,1.39,-0.24
1/23/2020,R10,adidas F/22 Prime Knit,R,outer_arch,1.11,1.40,-0.29
1/23/2020,R10,adidas F/22 Prime Knit,R,tip,0.96,1.16,-0.20
1/23/2020,R10,adidas F/22 Prime Knit,R,tip,0.91,1.20,-0.29
1/23/2020,R10,adidas F/22 Prime Knit,R,tip,0.94,1.13,-0.19
1/23/2020,L10,adidas F/22 Prime Knit,L,heel,1.17,1.35,-0.18
1/23/2020,L10,adidas F/22 Prime Knit,L,heel,1.17,1.34,-0.17
1/23/2020,L10,adidas F/22 Prime Knit,L,heel,1.18,1.31,-0.13
1/23/2020,L10,adidas F/22 Prime Knit,L,ball,1.40,1.41,-0.01
1/23/2020,L10,adidas F/22 Prime Knit,L,ball,1.38,1.42,-0.04
1/23/2020,L10,adidas F/22 Prime Knit,L,ball,1.35,1.33,0.02
1/23/2020,L10,adidas F/22 Prime Knit,L,outer_arch,1.41,1.33,0.08
1/23/2020,L10,adidas F/22 Prime Knit,L,outer_arch,1.32,1.32,0.00
1/23/2020,L10,adidas F/22 Prime Knit,L,outer_arch,1.33,1.34,-0.01
1/23/2020,L10,adidas F/22 Prime Knit,L,tip,1.17,1.13,0.04
1/23/2020,L10,adidas F/22 Prime Knit,L,tip,1.15,1.11,0.04
1/23/2020,L10,adidas F/22 Prime Knit,L,tip,1.15,1.15,0.00
1/23/2020,R08,adidas F/22 Prime Knit,R,heel,1.24,1.33,-0.09
1/23/2020,R08,adidas F/22 Prime Knit,R,heel,1.18,1.28,-0.10
1/23/2020,R08,adidas F/22 Prime Knit,R,heel,1.17,1.29,-0.12
1/23/2020,R08,adidas F/22 Prime Knit,R,ball,1.32,1.60,-0.28
1/23/2020,R08,adidas F/22 Prime Knit,R,ball,1.28,1.54,-0.26
1/23/2020,R08,adidas F/22 Prime Knit,R,ball,1.31,1.59,-0.28
1/23/2020,R08,adidas F/22 Prime Knit,R,outer_arch,1.25,1.35,-0.10
1/23/2020,R08,adidas F/22 Prime Knit,R,outer_arch,1.24,1.39,-0.15
1/23/2020,R08,adidas F/22 Prime Knit,R,outer_arch,1.21,1.40,-0.19
1/23/2020,R08,adidas F/22 Prime Knit,R,tip,1.15,1.16,-0.01
1/23/2020,R08,adidas F/22 Prime Knit,R,tip,1.12,1.20,-0.08
1/23/2020,R08,adidas F/22 Prime Knit,R,tip,1.11,1.13,-0.02
1/23/2020,L10,adidas F/22 Prime Knit,L,heel,1.25,1.35,-0.10
