Model,hardness,abrasion,rubber content label,rubber_type,geometry,
,,,,,,
adidas F/22 Prime Knit,60A,200,,natural,hybrid,
Reebok Endless Run,60A,80,,synthetic,running,
Adidas ultraBOOST Parley,60A,80,so rerub nm,recycled,running,
Adidas ultraBOOST Parley,60A,200,so NR 100 nm,natural,running,
Adidas Astrarun (60A),60A,200,,natural,running,CHECK THIS ONE
Parley Prime LTD ADIZERO,60A,200,100% rubber 50 rerub NR NM,natural,running,
Parley Prime LTD ADIZERO,60A,80,100% rubber 50 rerub NR NM,natural,running,
Ultra Boost Stella,60A,200,rerub 10% 40 nm epm5,recycled,hybrid,recycled = natural with 10% recycled synthetic
Adidas Nizza(50A syn) white,50A,80,SO NM,synthetic,lifestyle,
Adidas Nizza(60A) black,60A,80,SO NM,synthetic,lifestyle,
Adidas Terrex Boat,60A,200,,natural,lifestyle,
Adidas Ultratech,60A,80,,synthetic,hybrid,
Reebok Bolton,50A,80,,synthetic,hybrid,
