Date,Shoe ID,pre1,pre2,pre3,pre4,pre5,avg_pre,Date,post1,post2,post3,post4,post5,avg_post,post-pre
13-June,L01,241.324,241.322,241.320,241.317,241.319,241.320,12-Jan,240.728,240.732,240.729,240.737,240.731,240.731,-0.589
13-June,R01,242.368,242.365,242.373,242.367,242.373,242.369,12-Jan,241.794,241.789,241.789,241.793,241.793,241.792,-0.578
13-June,L02,240.734,240.730,240.733,240.733,240.735,240.733,,,,,,,#DIV/0!,#DIV/0!
13-June,R02,237.920,237.922,237.921,237.927,237.927,237.923,,,,,,,#DIV/0!,#DIV/0!
13-June,L03,240.706,240.707,240.713,240.714,240.715,240.711,12-Jan,239.629,239.629,239.619,239.636,239.629,239.628,-1.083
13-June,R03,242.022,242.019,242.017,242.013,242.023,242.019,12-Jan,240.554,240.569,240.566,240.572,240.583,240.569,-1.450
13-June,L04,240.154,240.157,240.150,240.152,240.154,240.153,9-Jan,239.369,239.368,239.273,239.369,239.381,239.352,-0.801
13-June,R04,242.661,242.660,242.668,242.659,242.665,242.663,9-Jan,242.269,242.265,242.266,242.265,242.268,242.267,-0.396
13-June,L05,241.657,241.667,241.663,241.663,241.661,241.662,,,,,,,#DIV/0!,#DIV/0!
13-June,R05,243.952,243.949,243.947,243.949,243.950,243.949,,,,,,,#DIV/0!,#DIV/0!
28-June,L51,260.635,260.633,260.633,260.636,260.630,260.633,9-Jan,259.894,259.894,259.897,259.896,259.895,259.895,-0.738
28-June,R51,263.065,264.061,264.066,264.079,264.072,263.869,9-Jan,262.264,262.266,262.266,262.268,262.271,262.267,-1.602
28-June,L52,259.627,259.622,259.623,259.624,259.623,259.624,21-Jan,258.826,258.824,258.823,258.819,258.821,258.823,-0.801
28-June,R52,260.749,260.745,260.745,260.746,260.739,260.745,21-Jan,259.986,259.987,259.988,259.990,259.987,259.988,-0.757
28-June,L53,260.027,260.029,260.033,260.020,260.021,260.026,9-Jan,259.322,259.321,259.327,259.323,259.324,259.323,-0.703
28-June,R53,261.029,261.036,261.026,261.036,261.043,261.034,9-Jan,260.063,260.063,260.062,260.061,260.061,260.062,-0.972
13-June,L06,333.854,333.854,333.855,333.853,333.851,333.853,21-Jan,331.680,331.688,331.692,331.696,331.697,331.691,-2.163
