date,shoe_ID,model,side,location,initial_mm,final_mm
11/26/2019,L02,Reebok Endless Run,L,heel,1.80,
11/26/2019,L02,Reebok Endless Run,L,heel,1.82,
11/26/2019,L02,Reebok Endless Run,L,heel,1.85,
11/26/2019,L02,Reebok Endless Run,L,ball,1.88,
11/26/2019,L02,Reebok Endless Run,L,ball,1.89,
11/26/2019,L02,Reebok Endless Run,L,ball,1.87,
11/26/2019,L02,Reebok Endless Run,L,outer_arch,2.11,
11/26/2019,L02,Reebok Endless Run,L,outer_arch,2.07,
11/26/2019,L02,Reebok Endless Run,L,outer_arch,2.02,
11/26/2019,L02,Reebok Endless Run,L,tip,1.74,
11/26/2019,L02,Reebok Endless Run,L,tip,1.69,
11/26/2019,L02,Reebok Endless Run,L,tip,1.73,
11/26/2019,L09,adidas F/22 Prime Knit,L,heel,1.35,
11/26/2019,L09,adidas F/22 Prime Knit,L,heel,1.34,
11/26/2019,L09,adidas F/22 Prime Knit,L,heel,1.31,
11/26/2019,L09,adidas F/22 Prime Knit,L,ball,1.41,
11/26/2019,L09,adidas F/22 Prime Knit,L,ball,1.42,
11/26/2019,L09,adidas F/22 Prime Knit,L,ball,1.33,
11/26/2019,L09,adidas F/22 Prime Knit,L,outer_arch,1.33,
11/26/2019,L09,adidas F/22 Prime Knit,L,outer_arch,1.32,
11/26/2019,L09,adidas F/22 Prime Knit,L,outer_arch,1.34,
11/26/2019,L09,adidas F/22 Prime Knit,L,tip,1.13,
11/26/2019,L09,adidas F/22 Prime Knit,L,tip,1.11,
11/26/2019,L09,adidas F/22 Prime Knit,L,tip,1.15,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,heel,1.52,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,heel,1.48,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,heel,1.38,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,ball,1.71,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,ball,1.69,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,ball,1.68,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,outer_arch,1.98,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,outer_arch,1.87,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,outer_arch,1.90,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,tip,1.81,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,tip,1.72,
11/26/2019,L22,Adidas ultraBOOST Parley black,L,tip,2.00,
11/26/2019,L38,Ultra Boost Stella,L,heel,1.46,1.54
11/26/2019,L38,Ultra Boost Stella,L,heel,1.49,1.51
11/26/2019,L38,Ultra Boost Stella,L,heel,1.50,1.46
11/26/2019,L38,Ultra Boost Stella,L,ball,1.68,1.77
11/26/2019,L38,Ultra Boost Stella,L,ball,1.62,1.74
11/26/2019,L38,Ultra Boost Stella,L,ball,1.59,1.54
11/26/2019,L38,Ultra Boost Stella,L,outer_arch,1.63,1.91
11/26/2019,L38,Ultra Boost Stella,L,outer_arch,1.58,1.91
11/26/2019,L38,Ultra Boost Stella,L,outer_arch,1.63,1.88
11/26/2019,L38,Ultra Boost Stella,L,tip,1.71,1.69
11/26/2019,L38,Ultra Boost Stella,L,tip,1.66,1.64
11/26/2019,L38,Ultra Boost Stella,L,tip,1.71,1.62
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,heel,1.34,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,heel,1.41,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,heel,1.38,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,ball,1.87,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,ball,1.79,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,ball,1.80,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,outer_arch,1.07,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,outer_arch,1.01,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,outer_arch,1.05,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,tip,1.29,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,tip,1.39,
11/26/2019,L41,Parley Prime LTD ADIZERO white,L,tip,1.43,
11/26/2019,L47,Adidas Astrarun (60A),L,heel,2.04,2.01
11/26/2019,L47,Adidas Astrarun (60A),L,heel,1.98,2.05
11/26/2019,L47,Adidas Astrarun (60A),L,heel,1.98,1.98
11/26/2019,L47,Adidas Astrarun (60A),L,ball,1.75,1.75
11/26/2019,L47,Adidas Astrarun (60A),L,ball,1.73,1.71
11/26/2019,L47,Adidas Astrarun (60A),L,ball,1.77,1.73
11/26/2019,L47,Adidas Astrarun (60A),L,outer_arch,1.94,1.92
11/26/2019,L47,Adidas Astrarun (60A),L,outer_arch,1.87,1.95
11/26/2019,L47,Adidas Astrarun (60A),L,outer_arch,1.88,1.90
11/26/2019,L47,Adidas Astrarun (60A),L,tip,2.02,1.81
11/26/2019,L47,Adidas Astrarun (60A),L,tip,1.89,1.78
11/26/2019,L47,Adidas Astrarun (60A),L,tip,1.91,1.77
11/26/2019,L51,Reebok Endless Run,L,heel,2.03,
11/26/2019,L51,Reebok Endless Run,L,heel,2.05,
11/26/2019,L51,Reebok Endless Run,L,heel,2.20,
11/26/2019,L51,Reebok Endless Run,L,ball,1.89,
11/26/2019,L51,Reebok Endless Run,L,ball,1.98,
11/26/2019,L51,Reebok Endless Run,L,ball,1.96,
11/26/2019,L51,Reebok Endless Run,L,outer_arch,2.30,
11/26/2019,L51,Reebok Endless Run,L,outer_arch,2.28,
11/26/2019,L51,Reebok Endless Run,L,outer_arch,2.31,
11/26/2019,L51,Reebok Endless Run,L,tip,2.07,
11/26/2019,L51,Reebok Endless Run,L,tip,2.06,
11/26/2019,L51,Reebok Endless Run,L,tip,2.22,
11/26/2019,L54,Adidas Nizza(50A syn) white,L,heel,1.92,1.73
11/26/2019,L54,Adidas Nizza(50A syn) white,L,heel,1.92,1.72
11/26/2019,L54,Adidas Nizza(50A syn) white,L,heel,1.93,1.86
11/26/2019,L54,Adidas Nizza(50A syn) white,L,ball,3.42,3.35
11/26/2019,L54,Adidas Nizza(50A syn) white,L,ball,3.46,3.34
11/26/2019,L54,Adidas Nizza(50A syn) white,L,ball,3.44,3.36
11/26/2019,L54,Adidas Nizza(50A syn) white,L,outer_arch,3.22,3.61
11/26/2019,L54,Adidas Nizza(50A syn) white,L,outer_arch,3.18,3.26
11/26/2019,L54,Adidas Nizza(50A syn) white,L,outer_arch,3.15,3.45
11/26/2019,L54,Adidas Nizza(50A syn) white,L,tip,3.44,3.12
11/26/2019,L54,Adidas Nizza(50A syn) white,L,tip,3.30,3.1
11/26/2019,L54,Adidas Nizza(50A syn) white,L,tip,3.35,3.12
11/26/2019,L61,Adidas Nizza(60A) black,L,heel,1.81,
11/26/2019,L61,Adidas Nizza(60A) black,L,heel,1.84,
11/26/2019,L61,Adidas Nizza(60A) black,L,heel,1.86,
11/26/2019,L61,Adidas Nizza(60A) black,L,ball,2.41,
11/26/2019,L61,Adidas Nizza(60A) black,L,ball,2.33,
11/26/2019,L61,Adidas Nizza(60A) black,L,ball,2.37,
11/26/2019,L61,Adidas Nizza(60A) black,L,outer_arch,3.08,
11/26/2019,L61,Adidas Nizza(60A) black,L,outer_arch,3.24,
11/26/2019,L61,Adidas Nizza(60A) black,L,outer_arch,3.09,
11/26/2019,L61,Adidas Nizza(60A) black,L,tip,3.07,
11/26/2019,L61,Adidas Nizza(60A) black,L,tip,2.97,
11/26/2019,L61,Adidas Nizza(60A) black,L,tip,3.02,
11/26/2019,L68,Adidas Terrex Boat,L,heel,1.88,1.81
11/26/2019,L68,Adidas Terrex Boat,L,heel,1.89,1.76
11/26/2019,L68,Adidas Terrex Boat,L,heel,1.90,1.72
11/26/2019,L68,Adidas Terrex Boat,L,ball,1.40,1.39
11/26/2019,L68,Adidas Terrex Boat,L,ball,1.48,1.27
11/26/2019,L68,Adidas Terrex Boat,L,ball,1.44,1.29
11/26/2019,L68,Adidas Terrex Boat,L,outer_arch,1.75,1.72
11/26/2019,L68,Adidas Terrex Boat,L,outer_arch,1.74,1.75
11/26/2019,L68,Adidas Terrex Boat,L,outer_arch,1.70,1.78
11/26/2019,L68,Adidas Terrex Boat,L,tip,2.01,1.82
11/26/2019,L68,Adidas Terrex Boat,L,tip,2.02,1.79
11/26/2019,L68,Adidas Terrex Boat,L,tip,2.03,1.82
11/26/2019,L73,Adidas Ultratech,L,heel,3.69,3.88
11/26/2019,L73,Adidas Ultratech,L,heel,3.80,3.88
11/26/2019,L73,Adidas Ultratech,L,heel,3.74,3.94
11/26/2019,L73,Adidas Ultratech,L,ball,3.13,3.28
11/26/2019,L73,Adidas Ultratech,L,ball,3.16,3.29
