Model,hardness,abrasion,rubber content label,rubber_type,
,,,,,
adidas F/22 Prime Knit,60A,200,,natural,
Reebok Endless Run,60A,80,,synthetic,
Adidas ultraBOOST Parley,60A,80,so rerub nm,recycled,
Adidas ultraBOOST Parley,60A,200,so NR 100 nm,natural,
Adidas Astrarun (60A),60A,200,,natural,CHECK THIS ONE
Parley Prime LTD ADIZERO,60A,200,100% rubber 50 rerub NR NM,,
Parley Prime LTD ADIZERO,60A,80,100% rubber 50 rerub NR NM,,
Ultra Boost Stella,60A,200,rerub 10% 40 nm epm5,recycled,recycled = natural with 10% recycled synthetic
Adidas Nizza(50A syn) white,50A,80,SO NM,synthetic,
Adidas Nizza(60A) black,60A,80,SO NM,synthetic,
Adidas Terrex Boat,60A,200,,natural,
Adidas Ultratech,60A,80,,synthetic,
Reebok Bolton,50A,80,,synthetic,
