Date,Shoe ID,pre1,pre2,pre3,pre4,pre5,post1,post2,post3,post4,post5
13-June,L01,241.324,241.322,241.32,241.317,241.319,200.1609146,200.2768177,200.0086511,200.7255278,200.4104966
13-June,R01,242.368,242.365,242.373,242.367,242.373,200.630434,200.4862883,200.933667,200.0855733,200.0739469
13-June,L02,240.734,240.73,240.733,240.733,240.735,200.9751009,200.9252183,200.8060638,200.6089838,200.0841003
13-June,R02,237.92,237.922,237.921,237.927,237.927,200.0104161,200.8008977,200.3028786,200.0677256,200.9612688
13-June,L03,240.706,240.707,240.713,240.714,240.715,200.5584278,200.8257225,200.7529675,200.9833905,200.4438463
13-June,R03,242.022,242.019,242.017,242.013,242.023,200.0526011,200.1885156,200.8816955,200.9638113,200.4808038
13-June,L04,240.154,240.157,240.15,240.152,240.154,200.1966246,200.9710134,200.2422791,200.5096451,200.7828076
13-June,R04,242.661,242.66,242.668,242.659,242.665,200.0961557,200.186576,200.2096352,200.664129,200.7206949
13-June,L05,241.657,241.667,241.663,241.663,241.661,200.7690335,200.0680925,200.0137849,200.4196887,200.8270497
13-June,R05,243.952,243.949,243.947,243.949,243.95,200.3398903,200.8878197,200.2688147,200.793228,200.054881
28-June,L51,260.635,260.633,260.633,260.636,260.63,200.6992464,200.5608525,200.807284,200.437645,200.5354971
28-June,R51,263.065,264.061,264.066,264.079,264.072,200.0001781,200.7327011,200.4805603,200.0770489,200.0269146
28-June,L52,259.627,259.622,259.623,259.624,259.623,200.7036515,200.6777929,200.3682303,200.2046044,200.961493
28-June,R52,260.749,260.745,260.745,260.746,260.739,200.4756567,200.7156309,200.6687518,200.9051869,200.8238972
28-June,L53,260.027,260.029,260.033,260.02,260.021,200.5451983,200.4783029,200.4762734,200.3228008,200.1360226
28-June,R53,261.029,261.036,261.026,261.036,261.043,200.338116,200.2265796,200.8526349,200.7669709,200.5676922
13-June,L06,333.854,333.854,333.855,333.853,333.851,200.6756244,200.2447768,200.9617494,200.3799217,200.8547229
13-June,R06,326.459,326.464,326.467,326.464,326.457,200.5079887,200.1986357,200.5033201,200.2560832,200.3586477
13-June,L07,335.704,335.702,335.702,335.703,335.706,200.6630343,200.9322119,200.7577268,200.3203449,200.364178
13-June,R07,325.749,325.747,325.755,325.755,325.757,200.1215397,200.4788518,200.4561134,200.2117062,200.2564585
13-June,L08,331.861,331.855,331.858,331.855,331.862,200.9353006,200.8756518,200.4535192,200.3215978,200.3110783
13-June,R08,328.111,328.101,328.107,328.116,328.11,200.5202585,200.2132199,200.5708531,200.1394109,200.3697948
13-June,L09,334.406,334.416,334.413,334.414,334.409,200.7336194,200.6557929,200.1956189,200.1388451,200.3321942
13-June,R09,326.518,326.514,326.512,326.519,326.521,200.1092456,200.9441225,200.7333462,200.0050525,200.1003571
13-June,L10,335.915,335.919,335.919,335.917,335. 920,200.4531835,200.2243071,200.0778741,200.3783845,200.2935267
13-June,R10,328.773,328.769,328.771,328.775,328.77,200.8618437,200.2954581,200.1047207,200.5707741,200.7006031
13-June,L11,274.421,274.415,274.18,274.415,274.413,200.265924,200.8361187,200.9066649,200.7367557,200.2312763
13-June,R11,282.604,282.604,282.604,282.605,282.605,200.2668135,200.8803199,200.0670825,200.7229571,200.4632132
13-June,L12,280.481,280.498,280.501,280.497,280.5,200.1683532,200.4722885,200.7791743,200.2320602,200.3814174
13-June,R12,278.375,278.377,278.374,278.376,278.374,200.9995231,200.0502088,200.9514378,200.3848134,200.5731921
13-June,L16,286.197,286.2,286.199,286.194,286.187,200.2985671,200.6637258,200.7120797,200.3984943,200.5127583
26-June,R16,281.641,281.649,281.651,281.646,281.647,200.4805837,200.5330184,200.9387208,200.0966424,200.3822677
27-June,L17,292.988,292.992,292.989,292.981,292.975,200.5214035,200.5452039,200.3707065,200.3070645,200.8826558
27-June,R17,281.79,281.783,281.785,281.777,281.776,200.397905,200.927293,200.0213497,200.7480575,200.2749837
27-June,L22,281.995,281.993,281.989,281.987,281.985,200.2187156,200.6367581,200.1196192,200.8112897,200.1253647
27-June,R22,287.831,287.829,287.822,287.835,287.821,200.798176,200.5585013,200.3285712,200.1503166,200.5047459
27-June,L23,285.369,285.383,285.281,285.38,285.387,200.84993,200.0242975,200.3176254,200.2457988,200.948838
27-June,R23,280.6,280.604,280.614,280.59,280.59,200.2913414,200.8133913,200.6346042,200.6129984,200.2073706
27-June,L24,291.626,291.612,291.615,291.623,291.617,200.9018613,200.0050585,200.2642096,200.7806489,200.6732346
27-June,R24,288.621,288.62,288.621,288.614,288.611,200.4999058,200.783129,200.3680491,200.7355071,200.0238112
27-June,L18,287.752,287.763,287.765,287.761,287.763,200.1396396,200.7914314,200.0496042,200.0605877,200.988177
27-June,R18,285.05,285.048,285.049,285.051,285.046,200.0701414,200.7252162,200.7610991,200.6162291,200.360236
27-June,L19,286.231,286.223,286.227,286.226,286.231,200.7441624,200.89684,200.9242619,200.6451437,200.2587766
27-June,R19,284.259,284.266,284.26,284.265,284.259,200.2439228,200.4366146,200.9578208,200.3247182,200.7131732
27-June,L20,278.49,278.478,278.5,278.496,278.495,200.695444,200.4310635,200.6707798,200.0742681,200.7735903
27-June,R20,280.904,280.899,280.9,280.902,280.895,200.2704898,200.3826742,200.4353202,200.0572712,200.8238048
27-June,L21,280.431,280.435,280.439,280.422,280.431,200.1834483,200.7340466,200.8958054,200.2803168,200.3300862
27-June,R21,278.284,278.288,278.275,278.287,278.29,200.372629,200.1931012,200.1762702,200.0140275,200.7856049
27-June,L25,283.195,283.197,283.197,283.197,283.196,200.5244381,200.8044153,200.5527397,200.1686022,200.902106
27-June,R25,281.79,281.783,281.785,281.777,281.776,200.8303365,200.5901496,200.8154583,200.8847571,200.903409
26-June,L26,360.217,360.213,360.219,360.221,360.217,200.9856517,200.5122398,200.327865,200.8168605,200.0645744
26-June,R26,358.109,358.112,358.108,358.109,358.112,200.2189068,200.7064726,200.8192612,200.4274026,200.8328415
28-June,L27,314.021,314.012,314.005,314.006,314.017,200.606452,200.0088705,200.5707139,200.1731879,200.6767865
28-June,R27,329.241,329.234,329.242,329.243,329.245,200.352618,200.1597053,200.4509249,200.0629244,200.7630999
28-June,L28,325.771,325.786,325.777,325.767,325.751,200.9103469,200.3968239,200.1000457,200.8398216,200.6886165
28-June,R28,318.759,318.761,318.758,318.762,318.755,200.9079152,200.8351176,200.33502,200.6149297,200.5428183
28-June,L29,318.49,318.475,318.489,318.482,318.489,200.7679066,200.139751,200.6737984,200.4472633,200.0536549
28-June,R29,316.82,316.847,316.84,316.833,316.844,200.6025269,200.5719095,200.3233602,200.2939146,200.2906445
28-June,L30,324.04,324.051,324.051,324.046,324.049,200.3622354,200.869649,200.9570755,200.8834397,200.6574462
28-June,R30,320.391,320.402,320.4,320.396,320.387,200.7136892,200.4164084,200.7470629,200.0928126,200.2349239
28-June,L54,324.165,324.165,324.17,324.157,324.17,200.570989,200.8819661,200.0669491,200.8327812,200.0236511
28-June,R54,323.335,323.331,323.34,323.342,323.345,200.3571463,200.6881624,200.133452,200.830162,200.0492912
26-June,L31,256.208,256.218,256.213,256.214,256.217,200.284835,200.3485078,200.9050984,200.4903241,200.8001856
26-June,R31,256.791,256.796,256.799,256.809,256.801,200.4995031,200.2724428,200.8934469,200.8849141,200.5049277
28-June,L47,254.49,254.513,253.504,254.491,254.49,200.4827071,200.9756322,200.5256529,200.1893563,200.6834313
28-June,R47,259.681,259.68,259.68,259.676,259.668,200.023616,200.6028083,200.1193658,200.0261922,200.7607943
28-June,L48,255.809,255.802,255.802,255.806,255.802,200.8582931,200.7967683,200.3207988,200.9640297,200.3718113
28-June,R48,251.844,251.839,251.83,251.839,251.843,200.1469355,200.1061369,200.4522238,200.793775,200.4284643
28-June,L49,254.366,254.379,254.385,254.377,254.383,200.5971664,200.0226135,200.2635931,200.6601622,200.2888645
28-June,R49,249.916,249.913,249.915,249.917,249.92,200.1461024,200.1539875,200.4123072,200.350445,200.7495371
28-June,L50,258.717,258.689,258.693,258.7,258.711,200.525158,200.3413619,200.3269749,200.2106916,200.4470264
28-June,R50,252.882,252.878,252.873,252.88,252.88,200.1608008,200.0805467,200.7708262,200.1534613,200.8354332
27-June,L34,274.32,274.322,274.32,274.319,274.318,200.3494557,200.9300333,200.3292922,200.662584,200.7813704
27-June,R34,271.074,271.986,271.981,271.976,271.963,200.0321916,200.6990904,200.5607179,200.8052706,200.1691955
27-June,L35,276.682,276.692,276.682,276.689,276.68,200.4861065,200.3245722,200.2469711,200.7382308,200.2404173
27-June,R35,274.352,274.333,274.229,274.354,274.327,200.825587,200.1643344,200.4712202,200.9972523,200.1374014
27-June,L36,274.595,274.595,274.593,274.593,274.6,200.9808164,200.5221606,200.7196289,200.3484073,200.6297786
27-June,R36,269.775,269.77,269.772,269.778,269.767,200.2459293,200.5038455,200.3868321,200.087038,200.6312351
27-June,L37,271.484,271.477,271.47,271.475,271.476,200.0820404,200.5285464,200.3654157,200.9607437,200.7429421
27-June,R37,270.912,270.907,270.907,270.15,270.913,200.3837691,200.7725847,200.1630061,200.910099,200.0660712
28-June,L38,274.08,274.088,274.087,274.087,274.092,200.9923062,200.4936739,200.2662899,200.9355526,200.3391812
28-June,R38,270.942,270.937,270.951,270.942,270.941,200.637582,200.493484,200.7777964,200.358337,200.0586366
27-June,L32,210.486,210.488,210.492,210.486,210.485,200.4096282,200.5311785,200.7940018,200.4410417,200.5267087
27-June,R32,210.885,210.877,210.881,210.888,210.893,200.7073396,200.8347159,200.3632547,200.8289438,200.463102
27-June,L39,210.771,210.768,210.767,210.766,210.759,200.4579622,200.9251591,200.8756315,200.8768388,200.6432888
27-June,R39,212.618,212.614,212.614,212.612,212.608,200.9092958,200.1700888,200.3582833,200.2005387,200.1985955
27-June,L40,205.733,205.729,205.729,205.73,205.731,200.1042821,200.2779888,200.9685856,200.5959067,200.6881663
27-June,R40,211.85,211.833,211.835,211.835,211.849,200.8411289,200.1800184,200.8947148,200.7034081,200.9500527
27-June,L33,213.798,213.813,213.807,213.811,213.804,200.8585024,200.0357994,200.8830902,200.3009871,200.2180881
27-June,R33,204.398,204.388,204.396,204.398,204.388,200.4511792,200.2121498,200.2425049,200.1675236,200.2445448
27-June,L41,212.112,212.11,212.117,212.114,212.116,200.467726,200.9868526,200.1876682,200.6864805,200.6742483
27-June,R41,208.548,208.544,208.552,208.547,208.545,200.6099613,200.0463935,200.6131308,200.2350181,200.9019366
27-June,L42,204.452,204.45,204.449,204.448,204.454,200.0428968,200.7085638,200.1201941,200.537054,200.7321407
27-June,R42,202.752,202.752,202.753,202.761,202.748,200.3239409,200.6405107,200.2207595,200.3701718,200.4406996
27-June,L43,205.045,205.039,205.032,205.043,205.059,200.0167207,200.4409051,200.6423628,200.620309,200.1666668
27-June,R43,201.991,201.995,201.989,201.989,201.999,200.2014211,200.5891554,200.2997609,200.8750522,200.6488583
27-June,L44,213.133,213.136,213.136,213.141,213.143,200.0276785,200.5898075,200.7853943,200.815706,200.1826487
27-June,R44,211.323,211.327,211.322,211.309,211.316,200.8120615,200.4593082,200.7991213,200.6862516,200.3714245
27-June,L45,207.345,207.342,207.339,207.331,207.34,200.0851828,200.5696787,200.5842427,200.201911,200.2864745
27-June,R45,206.234,206.24,206.243,206.245,206.236,200.2619787,200.494294,200.9467866,200.879259,200.2374273
27-June,L46,206.008,206.009,206.013,206.009,206.014,200.6026506,200.2380436,200.3593448,200.429229,200.7564548
27-June,R46,204.41,204.41,204.42,204.398,204.397,200.9255827,200.3611664,200.4806083,200.5116286,200.8730774
26-June,L26,360.217,360.213,360.219,360.221,360.217,200.3238396,200.9695034,200.6299997,200.9853462,200.124175
26-June,R26,358.109,358.112,358.108,358.109,358.112,200.576453,200.1843918,200.4611581,200.492109,200.3971218
28-June,L55,351.092,351.082,351.091,351.088,351.088,200.1266895,200.8757517,200.6109285,200.726888,200.9014306
28-June,R55,352.879,352.879,352.885,352.882,352.881,200.5889469,200.4228254,200.5521429,200.4462612,200.1475815
28-June,L56,357.546,357.551,357.552,357.551,357.563,200.8097346,200.6714285,200.7106346,200.8051055,200.0000724
28-June,R56,354.013,354.011,354.014,354.018,354.011,200.8392649,200.6454204,200.0165186,200.2639039,200.5764997
28-June,L57,352.588,352.59,352.577,352.582,352.594,200.4686291,200.7834364,200.2022364,200.3232313,200.8962497
28-June,R57,358.819,358.811,358.811,358.806,358.818,200.0219237,200.710545,200.4238425,200.9422322,200.7048345
28-June,L58,356.487,356.49,356.483,356.489,356.481,200.0023059,200.0284005,200.8379404,200.39075,200.915221
28-June,R58,363.201,363.199,363.193,363.201,363.191,200.3706602,200.598937,200.8932056,200.0909874,200.0401335
28-June,L59,358.36,358.346,358.357,358.36,358.357,200.7757521,200.2667543,200.5188747,200.8041617,200.9653265
28-June,R59,356.055,356.055,356.055,356.057,356.05,200.9905084,200.3640408,200.2556575,200.7311089,200.2151599
28-June,L60,351.656,351.655,351.662,351.664,351.666,200.9634274,200.0631584,200.6823265,200.2060767,200.3652436
28-June,R60,354.139,354.146,354.136,354.14,354.138,200.8820594,200.596736,200.6629261,200.8124584,200.0493703
28-June,L61,351.181,351.166,351.167,351.164,351.17,200.6362032,200.425377,200.1263875,200.0290688,200.9007451
28-June,R61,354.944,354.935,354.946,354.942,354.949,200.1847838,200.0333722,200.2010982,200.794212,200.2133591
28-June,L62,352.761,352.744,352.752,352.741,352.76,200.0957164,200.9942834,200.9335724,200.7951897,200.0574569
28-June,R62,359.854,359.857,359.856,359.869,359.861,200.5519172,200.6238029,200.997555,200.0962092,200.0884946
28-June,L63,356.146,356.152,356.148,356.152,356.161,200.2416783,200.6563585,200.6842442,200.8470489,200.2242895
28-June,R63,353.178,353.181,353.181,353.183,353.196,200.966082,200.505116,200.0987707,200.7419129,200.8625272
17-July,L64,232.974,232.978,232.977,232.979,232.975,200.1465732,200.9400682,200.549888,200.4657077,200.0961527
17-July,R64,233.011,233.014,233.011,233.016,233.015,200.7369511,200.9604541,200.2106088,200.9027668,200.9426005
17-July,L65,233.661,233.657,233.656,233.656,233.66,200.3530314,200.9351317,200.2357602,200.6712103,200.1502251
17-July,R65,233.599,233.603,233.601,233.6,233.594,200.1173916,200.972326,200.8496656,200.7268664,200.658641
17-July,L66,236.057,236.055,236.064,236.06,236.055,200.3748353,200.9883467,200.2906969,200.0934397,200.8815483
17-July,R66,234.972,234.973,234.975,234.969,234.972,200.6133261,200.3758385,200.8752956,200.0273388,200.1844529
17-July,L67,231.577,231.573,231.571,231.572,231.568,200.2239826,200.4338522,200.5354776,200.8872932,200.9932713
17-July,R67,234.361,234.365,234.364,234.365,234.366,200.0287994,200.6771873,200.0316234,200.431129,200.0360357
17-July,L68,233.885,233.88,233.879,233.881,233.883,200.5825894,200.9151503,200.3748476,200.1932136,200.3048351
17-July,R68,231.919,231.918,231.916,231.917,231.92,200.9183564,200.2025124,200.5046474,200.0886202,200.2848475
17-July,L69,364.529,364.516,364.52,365.522,364.521,200.1468968,200.9596692,200.4749518,200.5113053,200.206245
17-July,R69,370.798,370.802,370.804,370.805,370.804,200.9538656,200.5859462,200.5221241,200.238396,200.3192337
17-July,L70,371.522,371.521,371.522,371.523,371.524,200.1766033,200.8360371,200.7084974,200.1671421,200.8149166
17-July,R70,366.678,366.685,366.677,366.691,366.689,200.7455162,200.4755908,200.3270887,200.8573402,200.1244527
17-July,L71,377.858,377.848,377.853,377.856,377.86,200.9496439,200.0245943,200.7235502,200.8556051,200.9281416
17-July,R71,370.131,370.128,370.118,370.13,370.128,200.5831756,200.3426021,200.0265269,200.4301368,200.3581926
17-July,L72,375.246,375.245,375.243,375.245,375.242,200.5419982,200.9811618,200.8857028,200.8144639,200.5818433
17-July,R72,370.326,370.329,370.332,370.326,370.329,200.0340227,200.1100161,200.6448997,200.9981836,200.1548456
17-July,L73,374.166,374.158,374.161,374.163,374.162,200.5938393,200.0939998,200.4127846,200.2138374,200.7759608
17-July,R73,377.629,377.633,377.629,377.63,377.634,200.1979174,200.9910189,200.4411118,200.128189,200.4818909
14-August,L75,340.117,340.114,340.114,340.116,340.117,200.7852003,200.5986361,200.0797874,200.7661975,200.2876121
14-August,R75,346.738,346.742,346.741,346.74,346.738,200.9889852,200.0357744,200.1233828,200.1356442,200.8324294
14-August,L76,340.595,340.597,340.593,340.594,340.592,200.0023031,200.702374,200.0608652,200.7323555,200.6223733
14-August,R76,340.39,340.391,340.393,340.391,340.389,200.0891846,200.8545222,200.9187505,200.7464189,200.1092706
14-August,L77,345.711,345.713,345.707,345.712,345.711,200.3338724,200.7104509,200.0148512,200.493199,200.0369173
14-August,R77,339.837,339.84,339.839,339.838,339.833,200.1690895,200.313429,200.6251424,200.647523,200.2311465
14-August,L78,347.033,347.036,347.039,347.04,347.039,200.3773645,200.6728135,200.958573,200.6992396,200.2663636
14-August,R78,341.651,341.653,341.657,341.651,341.65,200.7578058,200.5177173,200.3497629,200.9103387,200.4669086
14-August,L79,342.581,342.584,342.583,342.582,342.577,200.968442,200.0712125,200.4343197,200.9278144,200.4985998
14-August,R79,341.835,341.835,341.837,341.836,341.835,200.3860121,200.5111296,200.8767404,200.7392059,200.9283788
