model,location,initial_depth,shoe_ID,side,final_depth,final_initial,model_desc,model_name,ge_27_abrasion_volume,cm3,density,specific_gravity,shoe_sa_cm2,sa_error,tread_mass
ADIDAS ASTRARUN (60A),BALL,1.67,L31,L,1.4766666666666666,-0.19333333333333336,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-1.6151221333333339
ADIDAS ASTRARUN (60A),BALL,1.67,L47,L,1.73,0.06000000000000005,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),0.5012448000000005
ADIDAS ASTRARUN (60A),BALL,1.67,L48,L,0.6166666666666667,-1.0533333333333332,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-8.799630933333335
ADIDAS ASTRARUN (60A),BALL,1.67,L49,L,0.46,-1.21,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-10.1084368
ADIDAS ASTRARUN (60A),BALL,1.67,L50,L,0,-1.67,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-13.951313600000004
ADIDAS ASTRARUN (60A),BALL,1.67,R31,R,1.62,-0.04999999999999982,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-0.4177039999999986
ADIDAS ASTRARUN (60A),BALL,1.67,R47,R,1.86,0.19000000000000017,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),1.5872752000000017
ADIDAS ASTRARUN (60A),BALL,1.67,R48,R,1.0933333333333333,-0.5766666666666667,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-4.817519466666668
ADIDAS ASTRARUN (60A),BALL,1.67,R49,R,0.8366666666666667,-0.8333333333333333,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-6.961733333333334
ADIDAS ASTRARUN (60A),BALL,1.67,R50,R,0,-1.67,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-13.951313600000004
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,L31,L,1.66,-0.26666666666666683,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-2.2277546666666685
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,L47,L,2.013333333333333,0.08666666666666645,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),0.724020266666665
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,L48,L,1.6,-0.32666666666666666,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-2.7289994666666675
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,L49,L,1.64,-0.28666666666666685,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-2.394836266666669
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,L50,L,1.4133333333333333,-0.5133333333333334,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-4.288427733333335
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,R31,R,1.73,-0.19666666666666677,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-1.642969066666668
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,R47,R,1.9233333333333333,-0.0033333333333334103,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-0.027846933333333986
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,R48,R,1.3666666666666667,-0.56,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-4.678284800000001
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,R49,R,1.2966666666666666,-0.6300000000000001,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-5.263070400000002
ADIDAS ASTRARUN (60A),HEEL,1.9266666666666667,R50,R,0.7366666666666667,-1.19,ADIDAS ASTRARUN (60A),ADIDAS ASTRARUN (60A),NA,0.0546715,1.1,1.12,74.59,(+/- 0.00051),-9.9413552
